,nasdaq_t100,short_term_rates,long_term_rates,dollar_index,vix_index,Laid_Off_Count
2021-05-20,7890.68017578125,0.01,1.63,89.80999755859375,20.670000076293945,0.0
2021-05-21,7850.009765625,0.01,1.63,90.0199966430664,20.149999618530273,0.0
2021-05-24,8000.27001953125,0.02,1.61,89.83000183105469,18.399999618530273,0.0
2021-05-25,8033.2099609375,0.02,1.56,89.63999938964844,18.84000015258789,0.0
2021-05-26,8053.77978515625,0.02,1.58,90.04000091552734,17.360000610351562,0.0
2021-05-27,8019.8798828125,0.02,1.61,89.97000122070312,16.739999771118164,0.0
2021-05-28,8064.85009765625,0.01,1.58,90.02999877929688,16.760000228881836,0.0
2021-06-01,8025.759765625,0.02,1.62,89.83000183105469,17.899999618530273,2434.0
2021-06-02,8046.7099609375,0.02,1.59,89.9000015258789,17.479999542236328,0.0
2021-06-03,7908.5400390625,0.02,1.63,90.5,18.040000915527344,0.0
2021-06-04,8110.8701171875,0.02,1.56,90.13999938964844,16.420000076293945,0.0
2021-06-07,8101.669921875,0.02,1.57,89.94999694824219,16.420000076293945,0.0
2021-06-08,8092.6298828125,0.02,1.53,90.08000183105469,17.06999969482422,0.0
2021-06-09,8069.16015625,0.03,1.50,90.12000274658203,17.889999389648438,0.0
2021-06-10,8190.75,0.03,1.45,90.08000183105469,16.100000381469727,0.0
2021-06-11,8240.83984375,0.03,1.47,90.55999755859375,15.649999618530273,0.0
2021-06-14,8334.3798828125,0.03,1.51,90.5199966430664,16.389999389648438,0.0
2021-06-15,8261.01953125,0.03,1.51,90.54000091552734,17.020000457763672,0.0
2021-06-16,8221.5703125,0.04,1.57,91.12999725341797,18.149999618530273,0.0
2021-06-17,8341.2099609375,0.04,1.52,91.88999938964844,17.75,0.0
2021-06-18,8268.330078125,0.05,1.45,92.2300033569336,20.700000762939453,0.0
2021-06-21,8307.33984375,0.05,1.50,91.86000061035156,17.889999389648438,0.0
2021-06-22,8393.8896484375,0.04,1.48,91.7300033569336,16.65999984741211,0.0
2021-06-23,8398.1796875,0.05,1.50,91.80000305175781,16.31999969482422,0.0
2021-06-24,8510.6103515625,0.05,1.49,91.81999969482422,15.970000267028809,0.0
